date,state,cases,deaths
28-02-2020,Massachusetts,1,0
28-02-2020,Nebraska,13,0
28-02-2020,Oregon,1,0
28-02-2020,Texas,11,0
28-02-2020,Utah,1,0
28-02-2020,Washington,1,0
28-02-2020,Washington,2,0
28-02-2020,Washington,4,0
28-02-2020,Wisconsin,1,0
29-02-2020,Arizona,1,0
29-02-2020,California,1,0
29-02-2020,California,1,0
29-02-2020,California,1,0
29-02-2020,California,1,0
29-02-2020,California,1,0
29-02-2020,California,3,0
29-02-2020,California,1,0
29-02-2020,California,3,0
29-02-2020,California,4,0
29-02-2020,California,11,0
29-02-2020,California,1,0
29-02-2020,Illinois,3,0
29-02-2020,Massachusetts,1,0
29-02-2020,Nebraska,13,0
29-02-2020,Oregon,1,0
29-02-2020,Texas,11,0
29-02-2020,Utah,1,0
29-02-2020,Washington,4,1
29-02-2020,Washington,2,0
29-02-2020,Washington,4,0
29-02-2020,Wisconsin,1,0
01-03-2020,Arizona,1,0
01-03-2020,California,1,0
01-03-2020,California,1,0
01-03-2020,California,1,0
01-03-2020,California,1,0
01-03-2020,California,1,0
01-03-2020,California,1,0
01-03-2020,California,3,0
01-03-2020,California,1,0
01-03-2020,California,3,0
01-03-2020,California,7,0
01-03-2020,California,12,0
01-03-2020,California,1,0
01-03-2020,Florida,1,0
01-03-2020,Florida,1,0
01-03-2020,Illinois,3,0
01-03-2020,Massachusetts,1,0
01-03-2020,Nebraska,13,0
01-03-2020,New York,1,0
01-03-2020,Oregon,2,0
01-03-2020,Rhode Island,2,0
01-03-2020,Texas,11,0
01-03-2020,Utah,1,0
01-03-2020,Washington,11,3
01-03-2020,Washington,2,0
01-03-2020,Washington,4,0
01-03-2020,Wisconsin,1,0
02-03-2020,Arizona,1,0
02-03-2020,California,1,0
02-03-2020,California,1,0
02-03-2020,California,1,0
02-03-2020,California,1,0
02-03-2020,California,1,0
02-03-2020,California,1,0
02-03-2020,California,1,0
02-03-2020,California,3,0
02-03-2020,California,1,0
02-03-2020,California,3,0
02-03-2020,California,1,0
02-03-2020,California,9,0
02-03-2020,California,12,0
02-03-2020,California,2,0
02-03-2020,Florida,1,0
02-03-2020,Florida,1,0
02-03-2020,Georgia,2,0
02-03-2020,Illinois,4,0
02-03-2020,Massachusetts,1,0
02-03-2020,Massachusetts,1,0
02-03-2020,Nebraska,13,0
02-03-2020,New Hampshire,1,0
02-03-2020,New York,1,0
02-03-2020,Oregon,2,0
02-03-2020,Rhode Island,2,0
02-03-2020,Texas,11,0
02-03-2020,Utah,1,0
02-03-2020,Washington,15,6
02-03-2020,Washington,3,0
02-03-2020,Washington,4,0
02-03-2020,Washington,1,0
02-03-2020,Wisconsin,1,0
03-03-2020,Arizona,2,0
03-03-2020,California,2,0
03-03-2020,California,1,0
03-03-2020,California,1,0
03-03-2020,California,1,0
03-03-2020,California,1,0
03-03-2020,California,1,0
03-03-2020,California,3,0
03-03-2020,California,2,0
03-03-2020,California,3,0
03-03-2020,California,1,0
03-03-2020,California,3,0
03-03-2020,California,1,0
03-03-2020,California,11,0
03-03-2020,California,12,0
03-03-2020,California,2,0
03-03-2020,Florida,2,0
03-03-2020,Florida,1,0
03-03-2020,Georgia,2,0
03-03-2020,Illinois,4,0
03-03-2020,Massachusetts,1,0
03-03-2020,Massachusetts,1,0
03-03-2020,Nebraska,13,0
03-03-2020,New Hampshire,2,0
03-03-2020,New York,2,0
03-03-2020,North Carolina,1,0
03-03-2020,Oregon,2,0
03-03-2020,Rhode Island,2,0
03-03-2020,Texas,11,0
03-03-2020,Utah,1,0
03-03-2020,Washington,22,10
03-03-2020,Washington,5,0
03-03-2020,Washington,4,0
03-03-2020,Washington,1,0
03-03-2020,Wisconsin,1,0
04-03-2020,Arizona,2,0
04-03-2020,California,2,0
04-03-2020,California,1,0
04-03-2020,California,1,0
04-03-2020,California,7,0
04-03-2020,California,1,0
04-03-2020,California,1,0
04-03-2020,California,3,0
04-03-2020,California,2,1
04-03-2020,California,3,0
04-03-2020,California,1,0
04-03-2020,California,3,0
04-03-2020,California,1,0
04-03-2020,California,14,0
04-03-2020,California,12,0
04-03-2020,California,3,0
04-03-2020,Florida,2,0
04-03-2020,Florida,1,0
04-03-2020,Georgia,2,0
04-03-2020,Illinois,4,0
04-03-2020,Massachusetts,1,0
04-03-2020,Massachusetts,1,0
04-03-2020,Nebraska,13,0
04-03-2020,New Hampshire,2,0
04-03-2020,New Jersey,1,0
04-03-2020,New York,2,0
04-03-2020,New York,9,0
04-03-2020,North Carolina,1,0
04-03-2020,Oregon,2,0
04-03-2020,Rhode Island,2,0
04-03-2020,Texas,11,0
04-03-2020,Texas,1,0
04-03-2020,Utah,1,0
04-03-2020,Washington,1,0
04-03-2020,Washington,33,11
04-03-2020,Washington,8,0
04-03-2020,Washington,4,0
04-03-2020,Washington,1,0
04-03-2020,Wisconsin,1,0
05-03-2020,Arizona,2,0
05-03-2020,California,2,0
05-03-2020,California,1,0
05-03-2020,California,1,0
05-03-2020,California,11,0
05-03-2020,California,1,0
05-03-2020,California,1,0
05-03-2020,California,3,0
05-03-2020,California,2,1
05-03-2020,California,3,0
05-03-2020,California,1,0
05-03-2020,California,5,0
05-03-2020,California,1,0
05-03-2020,California,20,0
05-03-2020,California,12,0
05-03-2020,California,3,0
05-03-2020,Colorado,1,0
05-03-2020,Colorado,1,0
05-03-2020,Florida,2,0
05-03-2020,Florida,1,0
05-03-2020,Florida,1,0
05-03-2020,Georgia,2,0
05-03-2020,Illinois,5,0
05-03-2020,Maryland,3,0
05-03-2020,Massachusetts,1,0
05-03-2020,Massachusetts,1,0
05-03-2020,Massachusetts,1,0
05-03-2020,Nebraska,13,0
05-03-2020,Nevada,1,0
05-03-2020,Nevada,1,0
05-03-2020,New Hampshire,2,0
05-03-2020,New Jersey,2,0
05-03-2020,New York,1,0
05-03-2020,New York,4,0
05-03-2020,New York,17,0
05-03-2020,North Carolina,1,0
05-03-2020,Oregon,2,0
05-03-2020,Rhode Island,2,0
05-03-2020,Tennessee,1,0
05-03-2020,Texas,11,0
05-03-2020,Texas,1,0
05-03-2020,Texas,4,0
05-03-2020,Utah,1,0
05-03-2020,Washington,1,0
05-03-2020,Washington,52,11
05-03-2020,Washington,17,0
05-03-2020,Washington,4,0
05-03-2020,Washington,1,0
05-03-2020,Wisconsin,1,0
06-03-2020,Arizona,2,0
06-03-2020,Arizona,1,0
06-03-2020,California,3,0
06-03-2020,California,4,0
06-03-2020,California,1,0
06-03-2020,California,13,0
06-03-2020,California,1,0
06-03-2020,California,1,0
06-03-2020,California,3,0
06-03-2020,California,5,1
06-03-2020,California,3,0
06-03-2020,California,1,0
06-03-2020,California,5,0
06-03-2020,California,1,0
06-03-2020,California,24,0
06-03-2020,California,12,0
06-03-2020,California,3,0
06-03-2020,California,1,0
06-03-2020,Colorado,2,0
06-03-2020,Colorado,3,0
06-03-2020,Colorado,1,0
06-03-2020,Colorado,1,0
06-03-2020,Colorado,1,0
06-03-2020,Florida,2,0
06-03-2020,Florida,2,0
06-03-2020,Florida,1,1
06-03-2020,Florida,1,0
06-03-2020,Florida,1,1
06-03-2020,Georgia,2,0
06-03-2020,Georgia,1,0
06-03-2020,Hawaii,1,0
06-03-2020,Illinois,6,0
06-03-2020,Indiana,1,0
06-03-2020,Kentucky,1,0
06-03-2020,Maryland,3,0
06-03-2020,Massachusetts,1,0
06-03-2020,Massachusetts,3,0
06-03-2020,Massachusetts,4,0
06-03-2020,Minnesota,1,0
06-03-2020,Nebraska,14,0
06-03-2020,Nevada,1,0
06-03-2020,Nevada,1,0
06-03-2020,New Hampshire,2,0
06-03-2020,New Jersey,3,0
06-03-2020,New Jersey,1,0
06-03-2020,New York,4,0
06-03-2020,New York,5,0
06-03-2020,New York,2,0
06-03-2020,New York,33,0
06-03-2020,North Carolina,1,0
06-03-2020,North Carolina,1,0
06-03-2020,Oklahoma,1,0
06-03-2020,Oregon,2,0
06-03-2020,Pennsylvania,1,0
06-03-2020,Pennsylvania,1,0
06-03-2020,Rhode Island,3,0
06-03-2020,South Carolina,1,0
06-03-2020,South Carolina,1,0
06-03-2020,Tennessee,1,0
06-03-2020,Texas,11,0
06-03-2020,Texas,3,0
06-03-2020,Texas,5,0
06-03-2020,Utah,1,0
06-03-2020,Utah,1,0
06-03-2020,Utah,1,0
06-03-2020,Washington,1,0
06-03-2020,Washington,1,0
06-03-2020,Washington,1,0
06-03-2020,Washington,59,12
06-03-2020,Washington,1,0
06-03-2020,Washington,18,0
06-03-2020,Washington,4,0
06-03-2020,Washington,1,0
06-03-2020,Wisconsin,1,0
07-03-2020,Arizona,2,0
07-03-2020,Arizona,3,0
07-03-2020,California,3,0
07-03-2020,California,4,0
07-03-2020,California,1,0
07-03-2020,California,1,0
07-03-2020,California,14,0
07-03-2020,California,1,0
07-03-2020,California,1,0
07-03-2020,California,1,0
07-03-2020,California,3,0
07-03-2020,California,5,1
07-03-2020,California,1,0
07-03-2020,California,3,0
07-03-2020,California,1,0
07-03-2020,California,11,0
07-03-2020,California,1,0
07-03-2020,California,32,0
07-03-2020,California,1,0
07-03-2020,California,12,0
07-03-2020,California,3,0
07-03-2020,California,1,0
07-03-2020,Colorado,2,0
07-03-2020,Colorado,3,0
07-03-2020,Colorado,1,0
07-03-2020,Colorado,1,0
07-03-2020,Colorado,1,0
